SelectionThreshold,MeanHeldoutEffect,HeldoutEffectErr,MeanNDiscriminativeImages,StdNDiscriminativeImages,RobustNDiscriminativeImagesErr,MedianNDiscriminativeImages,PearsonR_allRows,PearsonP_allRows,NImagesTotal,NSubjectsPerGroupUsed,NBootstrap
0,0.0835281545335341,0.0102531397174256,24.655,1.44985415717481,1,25,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.02,0.0946990644751608,0.0135416666666664,15.312,1.92206928864449,1,15,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.04,0.10342052853852,0.0165483152325259,9.823,1.81520411137865,1,10,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.06,0.116616881550068,0.0197761894190464,7.031,1.63606714890181,1,7,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.08,0.119952606572377,0.0203408446712019,5.132,1.53131346265907,1,5,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.1,0.12112432971098,0.0219097559658783,3.693,1.40239713266882,1,4,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.12,0.122651016778164,0.0222093996328687,2.634,1.19978476548233,1,3,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.14,0.12369881713147,0.0247484410430841,1.934,1.06525995831007,1,2,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.16,0.125684745488954,0.026530612244898,1.332,0.911376215734538,1,1,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.18,0.12481499176157,0.0281934996220718,0.805,0.730416667737333,1,1,-0.983631378508225,5.2512078372585e-08,28,15,1000
0.2,0.124994925718116,0.0317460317460324,0.432,0.594751821964195,0,0,-0.983631378508225,5.2512078372585e-08,28,15,1000
