DeltaThreshold,MeanEffect,EffectMAD,MeanNDiscriminativeImages,NImagesMAD
0,0.127161774654109,0.00759675755877597,23.0467857142857,1.11772142857143
0.02,0.129654944342398,0.00769554424848761,21.3435714285714,1.175
0.04,0.131656499779525,0.00847261720079946,20.2042857142857,1.17488571428571
0.06,0.137761003514809,0.0101487078900904,12.2042857142857,1.37062857142857
0.08,0.138278227499803,0.0104723085249317,10.97,1.38888571428571
0.1,0.14960188816183,0.0136308693131379,7.24107142857143,1.08839285714286
0.12,0.149518734018026,0.0143938484239689,5.735,1.16402857142857
0.14,0.150262121872504,0.0156087476030005,5.1725,1.12330714285714
0.16,0.162942613836133,0.0209519305390044,3.10535714285714,0.799214285714286
0.18,0.163717082256271,0.0230094632143081,2.63464285714286,0.822178571428572
0.2,0.174426567272014,0.0313381114385898,1.77357142857143,0.526385714285714
